# 20240725_151047
alpha,Dpi0Re,Dpi0Im
1.45444,0.052596,0
1.45601,0.052553,0
1.45759,0.0525192,0
1.45916,0.0524941,0
1.46073,0.0524762,0
1.4623,0.0524684,0
1.46388,0.0524702,0
1.46545,0.0524814,0
1.46702,0.0525023,0
1.46859,0.0525328,0
1.47016,0.0525717,0
1.47174,0.0526259,0
1.47331,0.0526888,0
1.47488,0.0527591,0
1.47645,0.0528384,0
1.47803,0.0529281,0
1.4796,0.0530296,0
1.48117,0.0531429,0
1.48274,0.0532672,0
1.48432,0.0534018,0
1.48589,0.0535479,0
1.48746,0.0537065,0
1.48903,0.0538761,0
1.49061,0.0540568,0
1.49218,0.0542506,0
1.49375,0.0544558,0
1.49532,0.0546751,0
1.49689,0.0549061,0
1.49847,0.0551507,0
1.50004,0.0554115,0
1.50161,0.0556832,0
1.50318,0.0559602,0
1.50476,0.0562599,0
1.50633,0.0565971,0
1.5079,0.0569603,0
1.50947,0.0573306,0
1.51105,0.0576869,0
1.51262,0.0580305,0
1.51419,0.0583994,0
1.51576,0.0588435,0
1.51734,0.0593608,0
1.51891,0.0597232,0
1.52048,0.0604372,0
1.52205,0.0610847,0
1.52363,0.061175,0
1.5252,0.0611082,0
1.52677,0.0610622,0
1.52834,0.061493,0
1.52991,0.0627376,0
1.53149,0.0638109,0
1.53306,0.0643045,0
1.53463,0.0646575,0
1.5362,0.0651912,0
1.53778,0.0660773,0
1.53935,0.067173,0
1.54092,0.0683001,0
1.54249,0.0693476,0
1.54407,0.0704857,0
1.54564,0.0717473,0
1.54721,0.0730946,0
1.54878,0.0745348,0
1.55036,0.0760996,0
1.55193,0.0777871,0
1.5535,0.0796162,0
1.55507,0.0815938,0
1.55665,0.0837118,0
1.55822,0.0859744,0
1.55979,0.0884471,0
1.56136,0.0910996,0
1.56293,0.0939562,0
1.56451,0.0970293,0
1.56608,0.100343,0
1.56765,0.103952,0
1.56922,0.107883,0
1.5708,0.111749,0
