# 20240731_151921
alpha,rRe,rIm
1.11638,8.66973,0
1.11795,8.66458,0
1.11953,8.65944,0
1.1211,8.65429,0
1.12267,8.64913,0
1.12424,8.64398,0
1.12582,8.63882,0
1.12739,8.63367,0
1.12896,8.62851,0
1.13053,8.62335,0
1.13211,8.61819,0
1.13368,8.61303,0
1.13525,8.60787,0
1.13682,8.60271,0
1.13839,8.59756,0
1.13997,8.5924,0
1.14154,8.58725,0
1.14311,8.58209,0
1.14468,8.57695,0
1.14626,8.5718,0
1.14783,8.56665,0
1.1494,8.56151,0
1.15097,8.55638,0
1.15255,8.55124,0
1.15412,8.54612,0
1.15569,8.54099,0
1.15726,8.53587,0
1.15884,8.53076,0
1.16041,8.52565,0
1.16198,8.52055,0
1.16355,8.51545,0
1.16513,8.51036,0
1.1667,8.50528,0
1.16827,8.5002,0
1.16984,8.49513,0
1.17141,8.49007,0
1.17299,8.48501,0
1.17456,8.47997,0
1.17613,8.47493,0
1.1777,8.4699,0
1.17928,8.46488,0
1.18085,8.45987,0
1.18242,8.45487,0
1.18399,8.44988,0
1.18557,8.4449,0
1.18714,8.43993,0
1.18871,8.43498,0
1.19028,8.43003,0
1.19186,8.42509,0
1.19343,8.42017,0
1.195,8.41526,0
1.19657,8.41036,0
1.19814,8.40547,0
1.19972,8.40059,0
1.20129,8.39573,0
1.20286,8.39088,0
1.20443,8.38605,0
1.20601,8.38123,0
1.20758,8.37642,0
1.20915,8.37163,0
1.21072,8.36685,0
1.2123,8.36209,0
1.21387,8.35735,0
1.21544,8.35261,0
1.21701,8.3479,0
1.21859,8.3432,0
1.22016,8.33852,0
1.22173,8.33385,0
1.2233,8.3292,0
1.22488,8.32457,0
1.22645,8.31995,0
1.22802,8.31536,0
1.22959,8.31078,0
1.23116,8.30621,0
1.23274,8.30167,0
1.23431,8.29714,0
1.23588,8.29264,0
1.23745,8.28815,0
1.23903,8.28368,0
1.2406,8.27923,0
1.24217,8.2748,0
1.24374,8.27039,0
1.24532,8.266,0
1.24689,8.26163,0
1.24846,8.25728,0
1.25003,8.25296,0
1.25161,8.24865,0
1.25318,8.24436,0
1.25475,8.2401,0
1.25632,8.23585,0
1.25789,8.23163,0
1.25947,8.22743,0
1.26104,8.22326,0
1.26261,8.2191,0
1.26418,8.21497,0
1.26576,8.21086,0
1.26733,8.20677,0
1.2689,8.20271,0
1.27047,8.19867,0
1.27205,8.19465,0
1.27362,8.19065,0
1.27519,8.18668,0
1.27676,8.18274,0
1.27834,8.17882,0
1.27991,8.17492,0
1.28148,8.17105,0
1.28305,8.1672,0
1.28463,8.16338,0
1.2862,8.15958,0
1.28777,8.15581,0
1.28934,8.15206,0
1.29091,8.14834,0
1.29249,8.14464,0
1.29406,8.14097,0
1.29563,8.13733,0
1.2972,8.13372,0
1.29878,8.13013,0
1.30035,8.12656,0
1.30192,8.12303,0
1.30349,8.11952,0
1.30507,8.11604,0
1.30664,8.11259,0
1.30821,8.10916,0
1.30978,8.10577,0
1.31136,8.1024,0
1.31293,8.09906,0
1.3145,8.09575,0
1.31607,8.09247,0
1.31764,8.08922,0
1.31922,8.086,0
1.32079,8.08281,0
1.32236,8.07965,0
1.32393,8.07652,0
1.32551,8.07342,0
1.32708,8.07035,0
1.32865,8.06731,0
1.33022,8.0643,0
1.3318,8.06133,0
1.33337,8.05839,0
1.33494,8.05548,0
1.33651,8.0526,0
1.33809,8.04976,0
1.33966,8.04694,0
1.34123,8.04417,0
1.3428,8.04142,0
1.34438,8.03872,0
1.34595,8.03604,0
1.34752,8.0334,0
1.34909,8.0308,0
1.35066,8.02823,0
1.35224,8.02569,0
1.35381,8.0232,0
1.35538,8.02074,0
1.35695,8.01831,0
1.35853,8.01593,0
1.3601,8.01358,0
1.36167,8.01127,0
1.36324,8.00899,0
1.36482,8.00676,0
1.36639,8.00456,0
1.36796,8.00241,0
1.36953,8.00029,0
1.37111,7.99822,0
1.37268,7.99618,0
1.37425,7.99419,0
1.37582,7.99223,0
1.37739,7.99032,0
1.37897,7.98845,0
1.38054,7.98663,0
1.38211,7.98484,0
1.38368,7.9831,0
1.38526,7.9814,0
1.38683,7.97975,0
1.3884,7.97814,0
1.38997,7.97658,0
1.39155,7.97506,0
1.39312,7.97359,0
1.39469,7.97216,0
1.39626,7.97078,0
1.39784,7.96944,0
1.39941,7.96816,0
1.40098,7.96692,0
1.40255,7.96573,0
1.40413,7.96459,0
1.4057,7.9635,0
1.40727,7.96245,0
1.40884,7.96146,0
1.41041,7.96052,0
1.41199,7.95963,0
1.41356,7.95879,0
1.41513,7.95801,0
1.4167,7.95727,0
1.41828,7.95659,0
1.41985,7.95596,0
1.42142,7.95539,0
1.42299,7.95487,0
1.42457,7.95441,0
1.42614,7.954,0
1.42771,7.95366,0
1.42928,7.95336,0
1.43086,7.95313,0
1.43243,7.95295,0
1.434,7.95285,0
1.43557,7.95279,0
1.43714,7.95279,0
1.43872,7.95286,0
1.44029,7.95298,0
1.44186,7.95318,0
1.44343,7.95343,0
1.44501,7.95375,0
1.44658,7.95413,0
1.44815,7.95459,0
1.44972,7.9551,0
1.4513,7.95569,0
1.45287,7.95635,0
1.45444,7.95707,0
1.45601,7.95787,0
1.45759,7.95874,0
1.45916,7.95968,0
1.46073,7.96069,0
1.4623,7.96178,0
1.46388,7.96295,0
1.46545,7.96419,0
1.46702,7.96551,0
1.46859,7.9669,0
1.47016,7.96838,0
1.47174,7.96994,0
1.47331,7.97158,0
1.47488,7.9733,0
1.47645,7.97511,0
1.47803,7.977,0
1.4796,7.97898,0
1.48117,7.98105,0
1.48274,7.9832,0
1.48432,7.98544,0
1.48589,7.98778,0
1.48746,7.9902,0
1.48903,7.99272,0
1.49061,7.99533,0
1.49218,7.99803,0
1.49375,8.00083,0
1.49532,8.00373,0
1.49689,8.00672,0
1.49847,8.00981,0
1.50004,8.01301,0
1.50161,8.0163,0
1.50318,8.01969,0
1.50476,8.02318,0
1.50633,8.02678,0
1.5079,8.03049,0
1.50947,8.03429,0
1.51105,8.03821,0
1.51262,8.04223,0
1.51419,8.04636,0
1.51576,8.05061,0
1.51734,8.05496,0
1.51891,8.05943,0
1.52048,8.06402,0
1.52205,8.06872,0
1.52363,8.07355,0
1.5252,8.07849,0
1.52677,8.08357,0
1.52834,8.08877,0
1.52991,8.0941,0
1.53149,8.09958,0
1.53306,8.10519,0
1.53463,8.11095,0
1.5362,8.11686,0
1.53778,8.12293,0
1.53935,8.12916,0
1.54092,8.13557,0
1.54249,8.14216,0
1.54407,8.14894,0
1.54564,8.15592,0
1.54721,8.16311,0
1.54878,8.17053,0
1.55036,8.17818,0
1.55193,8.18609,0
1.5535,8.19428,0
1.55507,8.20275,0
1.55665,8.21153,0
1.55822,8.22064,0
1.55979,8.23011,0
1.56136,8.23995,0
1.56293,8.2502,0
1.56451,8.26089,0
1.56608,8.27204,0
1.56765,8.28369,0
1.56922,8.29591,0
1.5708,8.30882,0
