# 20240725_151024
alpha,piplusRe,piplusIm
1.26733,-0.982429,0.186637
1.2689,-0.982878,0.184255
1.27047,-0.983321,0.181881
1.27205,-0.983755,0.179514
1.27362,-0.984183,0.177153
1.27519,-0.984604,0.1748
1.27676,-0.985018,0.172453
1.27834,-0.985424,0.170114
1.27991,-0.985824,0.167781
1.28148,-0.986217,0.165455
1.28305,-0.986604,0.163135
1.28463,-0.986983,0.160823
1.2862,-0.987356,0.158516
1.28777,-0.987723,0.156217
1.28934,-0.988083,0.153924
1.29091,-0.988436,0.151637
1.29249,-0.988783,0.149357
1.29406,-0.989124,0.147083
1.29563,-0.989459,0.144815
1.2972,-0.989787,0.142554
1.29878,-0.990109,0.140299
1.30035,-0.990425,0.13805
1.30192,-0.990735,0.135807
1.30349,-0.991039,0.13357
1.30507,-0.991337,0.131339
1.30664,-0.99163,0.129114
1.30821,-0.991916,0.126895
1.30978,-0.992197,0.124682
1.31136,-0.992472,0.122474
1.31293,-0.992741,0.120273
1.3145,-0.993005,0.118076
1.31607,-0.993263,0.115886
1.31764,-0.993515,0.113701
1.31922,-0.993762,0.111521
1.32079,-0.994004,0.109347
1.32236,-0.99424,0.107179
1.32393,-0.994471,0.105015
1.32551,-0.994696,0.102857
1.32708,-0.994916,0.100704
1.32865,-0.995131,0.0985563
1.33022,-0.995341,0.0964136
1.3318,-0.995546,0.094276
1.33337,-0.995746,0.0921433
1.33494,-0.99594,0.0900155
1.33651,-0.99613,0.0878926
1.33809,-0.996315,0.0857745
1.33966,-0.996494,0.0836612
1.34123,-0.996669,0.0815525
1.3428,-0.996839,0.0794484
1.34438,-0.997004,0.0773489
1.34595,-0.997164,0.0752539
1.34752,-0.99732,0.0731633
1.34909,-0.997471,0.0710772
1.35066,-0.997617,0.0689953
1.35224,-0.997758,0.0669177
1.35381,-0.997895,0.0648443
1.35538,-0.998028,0.0627751
1.35695,-0.998155,0.0607099
1.35853,-0.998279,0.0586487
1.3601,-0.998397,0.0565915
1.36167,-0.998512,0.0545382
1.36324,-0.998622,0.0524888
1.36482,-0.998727,0.0504431
1.36639,-0.998828,0.0484011
1.36796,-0.998925,0.0463628
1.36953,-0.999017,0.044328
1.37111,-0.999105,0.0422968
1.37268,-0.999189,0.040269
1.37425,-0.999268,0.0382447
1.37582,-0.999344,0.0362236
1.37739,-0.999415,0.0342059
1.37897,-0.999482,0.0321914
1.38054,-0.999544,0.03018
1.38211,-0.999603,0.0281717
1.38368,-0.999658,0.0261664
1.38526,-0.999708,0.0241641
1.38683,-0.999754,0.0221647
1.3884,-0.999797,0.0201681
1.38997,-0.999835,0.0181743
1.39155,-0.999869,0.0161832
1.39312,-0.999899,0.0141948
