alpha,pi0Re,pi0Im,Dpi0Re,Dpi0Im
0.849079,0.0883635,0,0.222476,0
0.850651,0.0879045,0,0.223011,0
0.852224,0.0874439,0,0.223528,0
0.853796,0.0869819,0,0.224025,0
0.855369,0.0865184,0,0.224503,0
0.856941,0.0860536,0,0.224959,0
0.858513,0.0855876,0,0.225395,0
0.860086,0.0851205,0,0.22581,0
0.861658,0.0846523,0,0.226202,0
0.86323,0.0841832,0,0.226572,0
0.864803,0.0837132,0,0.226919,0
0.866375,0.0832425,0,0.227243,0
0.867948,0.082771,0,0.22754,0
0.86952,0.082299,0,0.227814,0
0.871092,0.0818265,0,0.228065,0
0.872665,0.0813535,0,0.22829,0
0.874237,0.0808802,0,0.22849,0
0.875809,0.0804067,0,0.228662,0
0.877382,0.079933,0,0.228809,0
0.878954,0.0794593,0,0.228928,0
0.880526,0.0789855,0,0.229021,0
0.882099,0.0785102,0,0.2291,0
0.883671,0.078033,0,0.229167,0
0.885244,0.0775542,0,0.229224,0
0.886816,0.0770736,0,0.229268,0
0.888388,0.0765913,0,0.229301,0
0.889961,0.0761074,0,0.229323,0
0.891533,0.075622,0,0.229333,0
0.893105,0.075135,0,0.229332,0
0.894678,0.0746465,0,0.229319,0
0.89625,0.0741565,0,0.229295,0
0.897823,0.0736652,0,0.229257,0
0.899395,0.0731725,0,0.229209,0
0.900967,0.0726785,0,0.229149,0
0.90254,0.0721832,0,0.229078,0
0.904112,0.0716867,0,0.228995,0
0.905684,0.0711891,0,0.228899,0
0.907257,0.0706903,0,0.228792,0
0.908829,0.0701904,0,0.228673,0
0.910401,0.0696895,0,0.228542,0
0.911974,0.0691875,0,0.2284,0
0.913546,0.0686847,0,0.228246,0
0.915119,0.0681809,0,0.228079,0
0.916691,0.0676762,0,0.227896,0
0.918263,0.0671708,0,0.227706,0
0.919836,0.0666645,0,0.227509,0
0.921408,0.0661576,0,0.227301,0
0.92298,0.0656499,0,0.227077,0
0.924553,0.0651416,0,0.226842,0
0.926125,0.0646327,0,0.226596,0
0.927698,0.0641233,0,0.226338,0
0.92927,0.0636133,0,0.22607,0
0.930842,0.0631029,0,0.22579,0
0.932415,0.0625921,0,0.225499,0
0.933987,0.0620809,0,0.225197,0
0.935559,0.0615694,0,0.224885,0
0.937132,0.0610576,0,0.224561,0
0.938704,0.0605456,0,0.224228,0
0.940276,0.0600334,0,0.223883,0
0.941849,0.059521,0,0.223528,0
0.943421,0.0590085,0,0.223163,0
0.944994,0.058496,0,0.222788,0
0.946566,0.0579834,0,0.222403,0
0.948138,0.0574709,0,0.222008,0
0.949711,0.0569585,0,0.221603,0
0.951283,0.0564462,0,0.221188,0
0.952855,0.055934,0,0.220764,0
0.954428,0.0554221,0,0.220331,0
0.956,0.0549104,0,0.219889,0
0.957573,0.054399,0,0.219437,0
0.959145,0.053888,0,0.218976,0
0.960717,0.0533774,0,0.218506,0
0.96229,0.0528672,0,0.218028,0
0.963862,0.0523574,0,0.217541,0
0.965434,0.0518482,0,0.217046,0
