# 20240823_150244
alpha,utauRe,utauIm
1.47331,1.04582,0
1.47488,1.04426,0
1.47645,1.04273,0
1.47803,1.04122,0
1.4796,1.03975,0
1.48117,1.03831,0
1.48274,1.0369,0
1.48432,1.03552,0
1.48589,1.03417,0
1.48746,1.03285,0
1.48903,1.03156,0
1.49061,1.0303,0
1.49218,1.02907,0
1.49375,1.02788,0
1.49532,1.02671,0
1.49689,1.02557,0
1.49847,1.02446,0
1.50004,1.02337,0
1.50161,1.02232,0
1.50318,1.0213,0
1.50476,1.0203,0
1.50633,1.01933,0
1.5079,1.01839,0
1.50947,1.01748,0
1.51105,1.01659,0
1.51262,1.01573,0
1.51419,1.01489,0
1.51576,1.01408,0
1.51734,1.0133,0
1.51891,1.01254,0
1.52048,1.0118,0
1.52205,1.01109,0
1.52363,1.0104,0
1.5252,1.00974,0
1.52677,1.00909,0
1.52834,1.00847,0
1.52991,1.00788,0
1.53149,1.0073,0
1.53306,1.00675,0
1.53463,1.00622,0
1.5362,1.00572,0
1.53778,1.00523,0
1.53935,1.00477,0
1.54092,1.00433,0
1.54249,1.00391,0
1.54407,1.00351,0
1.54564,1.00314,0
1.54721,1.00278,0
1.54878,1.00245,0
1.55036,1.00213,0
1.55193,1.00184,0
1.5535,1.00156,0
1.55507,1.00131,0
1.55665,1.00107,0
1.55822,1.00085,0
1.55979,1.00066,0
1.56136,1.00048,0
1.56293,1.00033,0
1.56451,1.0002,0
1.56608,1.00011,0
1.56765,1.00004,0
1.56922,1.00003,0
1.5708,1.00008,0
