# 20240927_193022
alpha,DtauRe,DtauIm
1.44186,-40.3337,0
1.44343,-40.295,0
1.44501,-40.2576,0
1.44658,-40.2213,0
1.44815,-40.1861,0
1.44972,-40.152,0
1.4513,-40.119,0
1.45287,-40.0872,0
1.45444,-40.0563,0
1.45601,-40.0265,0
1.45759,-39.9976,0
1.45916,-39.9698,0
1.46073,-39.9428,0
1.4623,-39.9167,0
1.46388,-39.8914,0
1.46545,-39.867,0
1.46702,-39.8434,0
1.46859,-39.8206,0
1.47016,-39.7984,0
1.47174,-39.7771,0
1.47331,-39.7564,0
1.47488,-39.7364,0
1.47645,-39.7171,0
1.47803,-39.6986,0
1.4796,-39.6808,0
1.48117,-39.6638,0
1.48274,-39.6475,0
1.48432,-39.6321,0
1.48589,-39.6175,0
1.48746,-39.604,0
1.48903,-39.5914,0
1.49061,-39.58,0
1.49218,-39.5697,0
1.49375,-39.5608,0
1.49532,-39.553,0
1.49689,-39.5471,0
1.49847,-39.5422,0
1.50004,-39.54,0
1.50161,-39.539,0
1.50318,-39.5393,0
1.50476,-39.5424,0
1.50633,-39.547,0
1.5079,-39.5543,0
1.50947,-39.5634,0
1.51105,-39.5751,0
1.51262,-39.5887,0
1.51419,-39.6049,0
1.51576,-39.6231,0
1.51734,-39.6437,0
1.51891,-39.6663,0
1.52048,-39.691,0
1.52205,-39.7176,0
1.52363,-39.746,0
1.5252,-39.776,0
1.52677,-39.8075,0
1.52834,-39.8402,0
1.52991,-39.8742,0
1.53149,-39.9089,0
1.53306,-39.9445,0
1.53463,-39.9806,0
1.5362,-40.0174,0
1.53778,-40.0546,0
1.53935,-40.0924,0
1.54092,-40.131,0
1.54249,-40.1703,0
1.54407,-40.2111,0
1.54564,-40.2533,0
1.54721,-40.2979,0
1.54878,-40.3453,0
1.55036,-40.3966,0
1.55193,-40.4522,0
1.5535,-40.5134,0
1.55507,-40.5809,0
1.55665,-40.6552,0
1.55822,-40.7375,0
1.55979,-40.8268,0
1.56136,-40.9241,0
1.56293,-41.0257,0
1.56451,-41.1324,0
1.56608,-41.2349,0
1.56765,-41.3362,0
1.56922,-41.4018,0
1.5708,-41.4401,0
