# 20240927_195706
alpha,tauRe,tauIm
1.20915,28.5389,0
1.21072,28.4042,0
1.2123,28.2698,0
1.21387,28.1358,0
1.21544,28.0021,0
1.21701,27.8687,0
1.21859,27.7356,0
1.22016,27.6028,0
1.22173,27.4704,0
1.2233,27.3383,0
1.22488,27.2064,0
1.22645,27.0749,0
1.22802,26.9438,0
1.22959,26.8129,0
1.23116,26.6823,0
1.23274,26.552,0
1.23431,26.4221,0
1.23588,26.2925,0
1.23745,26.1631,0
1.23903,26.0341,0
1.2406,25.9053,0
1.24217,25.7769,0
1.24374,25.6488,0
1.24532,25.521,0
1.24689,25.3934,0
1.24846,25.2662,0
1.25003,25.1393,0
1.25161,25.0126,0
1.25318,24.8863,0
1.25475,24.7602,0
1.25632,24.6345,0
1.25789,24.509,0
1.25947,24.3838,0
1.26104,24.2589,0
1.26261,24.1343,0
1.26418,24.01,0
1.26576,23.8859,0
1.26733,23.7622,0
1.2689,23.6387,0
1.27047,23.5155,0
1.27205,23.3926,0
1.27362,23.27,0
1.27519,23.1476,0
1.27676,23.0255,0
1.27834,22.9037,0
1.27991,22.7822,0
1.28148,22.6609,0
1.28305,22.5399,0
1.28463,22.4192,0
1.2862,22.2987,0
1.28777,22.1786,0
1.28934,22.0586,0
1.29091,21.939,0
1.29249,21.8196,0
1.29406,21.7005,0
1.29563,21.5816,0
1.2972,21.463,0
1.29878,21.3446,0
1.30035,21.2265,0
1.30192,21.1087,0
1.30349,20.9911,0
1.30507,20.8738,0
1.30664,20.7567,0
1.30821,20.6398,0
1.30978,20.5233,0
1.31136,20.4069,0
1.31293,20.2908,0
1.3145,20.175,0
1.31607,20.0593,0
1.31764,19.944,0
1.31922,19.8288,0
1.32079,19.7139,0
1.32236,19.5993,0
1.32393,19.4848,0
1.32551,19.3706,0
1.32708,19.2567,0
1.32865,19.1429,0
1.33022,19.0294,0
1.3318,18.9161,0
1.33337,18.8031,0
1.33494,18.6902,0
1.33651,18.5776,0
1.33809,18.4652,0
1.33966,18.353,0
1.34123,18.241,0
1.3428,18.1293,0
1.34438,18.0177,0
1.34595,17.9064,0
1.34752,17.7953,0
1.34909,17.6844,0
1.35066,17.5736,0
1.35224,17.4631,0
1.35381,17.3528,0
1.35538,17.2427,0
1.35695,17.1328,0
1.35853,17.0231,0
1.3601,16.9136,0
1.36167,16.8043,0
1.36324,16.6952,0
1.36482,16.5862,0
1.36639,16.4775,0
1.36796,16.3689,0
1.36953,16.2606,0
1.37111,16.1524,0
1.37268,16.0444,0
1.37425,15.9365,0
1.37582,15.8289,0
1.37739,15.7214,0
1.37897,15.6142,0
1.38054,15.5071,0
1.38211,15.4001,0
1.38368,15.2934,0
1.38526,15.1868,0
1.38683,15.0804,0
1.3884,14.9741,0
1.38997,14.8681,0
1.39155,14.7621,0
1.39312,14.6564,0
1.39469,14.5508,0
1.39626,14.4454,0
1.39784,14.3401,0
1.39941,14.235,0
1.40098,14.1301,0
1.40255,14.0253,0
1.40413,13.9207,0
1.4057,13.8162,0
1.40727,13.7119,0
1.40884,13.6077,0
1.41041,13.5036,0
1.41199,13.3997,0
1.41356,13.296,0
1.41513,13.1924,0
1.4167,13.0889,0
1.41828,12.9856,0
1.41985,12.8824,0
1.42142,12.7793,0
1.42299,12.6764,0
1.42457,12.5736,0
1.42614,12.4709,0
1.42771,12.3684,0
1.42928,12.266,0
1.43086,12.1637,0
1.43243,12.0615,0
1.434,11.9594,0
1.43557,11.8574,0
1.43714,11.7556,0
1.43872,11.6538,0
1.44029,11.5522,0
1.44186,11.4507,0
1.44343,11.3493,0
1.44501,11.2479,0
1.44658,11.1467,0
1.44815,11.0456,0
1.44972,10.9445,0
1.4513,10.8435,0
1.45287,10.7427,0
1.45444,10.6419,0
1.45601,10.5412,0
1.45759,10.4405,0
1.45916,10.34,0
1.46073,10.2395,0
1.4623,10.1391,0
1.46388,10.0387,0
1.46545,9.93843,0
1.46702,9.83821,0
1.46859,9.73805,0
1.47016,9.63795,0
1.47174,9.53791,0
1.47331,9.43792,0
1.47488,9.33799,0
1.47645,9.2381,0
1.47803,9.13826,0
1.4796,9.03846,0
1.48117,8.9387,0
1.48274,8.83899,0
1.48432,8.7393,0
1.48589,8.63966,0
1.48746,8.54004,0
1.48903,8.44046,0
1.49061,8.3409,0
1.49218,8.24137,0
1.49375,8.14185,0
1.49532,8.04235,0
1.49689,7.94286,0
1.49847,7.84338,0
1.50004,7.7439,0
1.50161,7.64444,0
1.50318,7.54496,0
1.50476,7.44548,0
1.50633,7.34599,0
1.5079,7.24649,0
1.50947,7.14696,0
1.51105,7.04742,0
1.51262,6.94784,0
1.51419,6.84823,0
1.51576,6.74858,0
1.51734,6.6489,0
1.51891,6.54916,0
1.52048,6.44937,0
1.52205,6.34952,0
1.52363,6.24961,0
1.5252,6.14963,0
1.52677,6.04958,0
1.52834,5.94946,0
1.52991,5.84925,0
1.53149,5.74896,0
1.53306,5.64859,0
1.53463,5.54812,0
1.5362,5.44756,0
1.53778,5.34689,0
1.53935,5.24612,0
1.54092,5.14525,0
1.54249,5.04427,0
1.54407,4.94318,0
1.54564,4.84198,0
1.54721,4.74065,0
1.54878,4.6392,0
1.55036,4.53761,0
1.55193,4.43589,0
1.5535,4.33402,0
1.55507,4.232,0
1.55665,4.12981,0
1.55822,4.02744,0
1.55979,3.92487,0
1.56136,3.82211,0
1.56293,3.71909,0
1.56451,3.61583,0
1.56608,3.51228,0
1.56765,3.40844,0
1.56922,3.30424,0
1.5708,3.19961,0
