# 20240725_151055
alpha,chiRe,chiIm
1.41985,-0.00977254,0
1.42142,-0.00974309,0
1.42299,-0.00971364,0
1.42457,-0.00968419,0
1.42614,-0.00965474,0
1.42771,-0.00962528,0
1.42928,-0.00959582,0
1.43086,-0.00956636,0
1.43243,-0.00953689,0
1.434,-0.00950742,0
1.43557,-0.00947795,0
1.43714,-0.00944847,0
1.43872,-0.00941898,0
1.44029,-0.00938949,0
1.44186,-0.00935999,0
1.44343,-0.00933048,0
1.44501,-0.00930097,0
1.44658,-0.00927144,0
1.44815,-0.00924191,0
1.44972,-0.00921236,0
1.4513,-0.00918281,0
1.45287,-0.00915324,0
1.45444,-0.00912367,0
1.45601,-0.00909408,0
1.45759,-0.00906448,0
1.45916,-0.00903486,0
1.46073,-0.00900524,0
1.4623,-0.00897559,0
1.46388,-0.00894594,0
1.46545,-0.00891627,0
1.46702,-0.00888658,0
1.46859,-0.00885688,0
1.47016,-0.00882715,0
1.47174,-0.00879742,0
1.47331,-0.00876766,0
1.47488,-0.00873789,0
1.47645,-0.00870809,0
1.47803,-0.00867829,0
1.4796,-0.00864846,0
1.48117,-0.00861862,0
1.48274,-0.00858877,0
1.48432,-0.0085589,0
1.48589,-0.00852902,0
1.48746,-0.00849912,0
1.48903,-0.00846921,0
1.49061,-0.00843929,0
1.49218,-0.00840936,0
1.49375,-0.00837941,0
1.49532,-0.00834945,0
1.49689,-0.00831948,0
1.49847,-0.0082895,0
1.50004,-0.00825951,0
1.50161,-0.00822951,0
1.50318,-0.0081995,0
1.50476,-0.00816948,0
1.50633,-0.00813946,0
1.5079,-0.00810942,0
1.50947,-0.00807938,0
1.51105,-0.00804932,0
1.51262,-0.00801926,0
1.51419,-0.0079892,0
1.51576,-0.00795913,0
1.51734,-0.00792905,0
1.51891,-0.00789897,0
1.52048,-0.00786888,0
1.52205,-0.00783878,0
1.52363,-0.00780869,0
1.5252,-0.00777859,0
1.52677,-0.00774848,0
1.52834,-0.00771837,0
1.52991,-0.00768826,0
1.53149,-0.00765815,0
1.53306,-0.00762803,0
1.53463,-0.00759792,0
1.5362,-0.0075678,0
1.53778,-0.00753768,0
1.53935,-0.00750756,0
1.54092,-0.00747744,0
1.54249,-0.00744733,0
1.54407,-0.00741721,0
1.54564,-0.00738709,0
1.54721,-0.00735698,0
1.54878,-0.00732687,0
